Clover,Crystal,Segment,X,Y,Z
4,0,6,147.751,49.076,134.788
4,0,7,165.294,54.6884,116.394
4,1,0,89.4793,15.0085,143.597
4,1,1,83.8084,27.0841,140.524
4,1,2,99.8691,31.7771,124.543
4,1,3,106.098,17.9614,126.353
4,1,4,116.499,23.3953,176.466
4,1,5,110.324,36.6195,174.237
4,1,6,127.732,42.564,155.819
4,1,7,134.27,26.8009,158.441
4,2,0,73.8728,52.632,143.613
4,2,1,87.7061,62.3164,126.17
4,2,2,93.1065,48.193,124.512
4,2,3,78.4655,40.2013,140.645
4,2,4,99.0253,66.032,176.382
4,2,5,113.963,76.192,158.328
4,2,6,120.494,60.4069,155.688
4,2,7,103.99,52.2853,174.106
4,3,0,116.936,83.3431,90.7293
4,3,1,125.106,63.9949,88.076
4,3,2,110.622,57.2173,104.803
4,3,3,103.005,73.1785,107.608
4,3,4,146.906,97.7703,118.825
4,3,5,155.743,78.1186,116.243
4,3,6,139.375,69.7035,134.623
4,3,7,131.798,87.9375,136.919
5,0,0,-73.8728,52.632,-143.613
5,0,1,-87.7061,62.3164,-126.17
5,0,2,-93.1065,48.193,-124.512
5,0,3,-78.4655,40.2013,-140.645
5,0,4,-98.9984,66.0198,-176.353
5,0,5,-113.963,76.192,-158.328
5,0,6,-120.494,60.4069,-155.688
5,0,7,-103.99,52.2853,-174.106
5,1,0,-116.936,83.3431,-90.7293
5,1,1,-125.106,63.9949,-88.076
5,1,2,-110.622,57.2173,-104.803
5,1,3,-103.005,73.1785,-107.608
5,1,4,-146.906,97.7703,-118.825
5,1,5,-155.743,78.1186,-116.243
5,1,6,-139.362,69.6972,-134.637
5,1,7,-131.798,87.9375,-136.919
5,2,0,-73.8728,52.632,-143.613
5,2,1,-87.7061,62.3164,-126.17
5,2,2,-93.1065,48.193,-124.512
5,2,3,-78.4655,40.2013,-140.645
5,2,4,-98.9984,66.0198,-176.353
5,2,5,-113.963,76.192,-158.328
5,2,6,-120.494,60.4069,-155.688
5,2,7,-103.99,52.2853,-174.106
5,3,0,-116.936,83.3431,-90.7293
5,3,1,-125.106,63.9949,-88.076
